,Route,Direction,Stop,Model,RMSE,MAE
2,77A,2,350,random forest,29.194822109443965,19.03272094063253
0,66B,2,2248,lin_reg,12.041443270693108,8.870071150191976
1,66B,2,2248,decision Tree,1.280921599954081,0.20528472984821017
2,66B,2,2248,random forest,6.644995645923452,3.8564200103769766
0,18,1,4799,lin_reg,24.99079952295914,18.22718004058291
1,18,1,4799,decision Tree,6.273288337909759,1.9334337394092072
2,18,1,4799,random forest,15.071343961159505,9.29427927696597
0,53,2,2720,lin_reg,19.37357468637407,14.407612502396447
1,53,2,2720,decision Tree,2.8477722038333746,0.6482012190330257
2,53,2,2720,random forest,11.263357808419693,6.72223120826724
0,16,2,1327,lin_reg,29.863255568557257,18.1672091820408
1,16,2,1327,decision Tree,6.040279422218701,2.0039621049543315
2,16,2,1327,random forest,16.73832350926351,9.19903225675223
0,145,1,761,lin_reg,69.85699471637692,39.872548816230314
1,145,1,761,decision Tree,15.776144289055857,4.375421794161102
2,145,1,761,random forest,43.522569887020396,20.234111203436402
0,42,2,617,lin_reg,25.10094751577628,18.32851727875744
1,42,2,617,decision Tree,6.782368149033021,2.3805145727551897
2,42,2,617,random forest,14.550004283352816,9.562335008342854
0,25,2,1479,lin_reg,41.40784379447201,32.6393621461145
1,25,2,1479,decision Tree,1.770857142697081,0.1324206349206349
2,25,2,1479,random forest,23.32166652436827,14.945212626249836
0,54A,2,2595,lin_reg,24.304666375203908,14.800823178757103
1,54A,2,2595,decision Tree,5.364113958705935,1.860069405432264
2,54A,2,2595,random forest,14.408461687259932,7.689375300410368
0,67X,2,3922,lin_reg,60.92257129500804,42.80391080403134
1,67X,2,3922,decision Tree,3.030422469613924,0.3114592153542196
2,67X,2,3922,random forest,36.61901781325817,21.822913726597044
0,67X,1,2214,lin_reg,23.16009998718703,17.34896637040293
1,67X,1,2214,decision Tree,1.4281647433200517,0.22840624287992708
2,67X,1,2214,random forest,13.334212893215419,8.41889321518081
0,33,1,3672,lin_reg,21.317546278993518,14.597427045920112
1,33,1,3672,decision Tree,1.0342520532720596,0.13317459123910738
2,33,1,3672,random forest,11.884745096338165,7.021112756996725
0,16D,1,214,lin_reg,22.524290769941192,18.196054069391277
1,16D,1,214,decision Tree,0.0,0.0
2,16D,1,214,random forest,13.482568784061483,8.344632768361581
0,40D,2,839,lin_reg,17.77045506012884,8.46213180126048
1,40D,2,839,decision Tree,1.9563938059397374,0.5409627120889218
2,40D,2,839,random forest,7.762134722278329,3.9121995685891835
0,33A,1,3571,lin_reg,26.39216781178443,11.810792994809225
1,33A,1,3571,decision Tree,0.0,0.0
2,33A,1,3571,random forest,17.865129014296556,5.810088143609589
0,40,2,2121,lin_reg,22.838924948166216,16.6399925442198
1,40,2,2121,decision Tree,5.925730777364439,2.001452357423794
2,40,2,2121,random forest,14.279869368368596,9.222431857526892
0,39A,1,7167,lin_reg,16.618066509007043,12.218654000422678
1,39A,1,7167,decision Tree,4.478987418040293,1.4922205491764193
2,39A,1,7167,random forest,10.181735744626794,6.642204576296411
0,83A,1,1016,lin_reg,52.267181389502,37.326378530786144
1,83A,1,1016,decision Tree,5.720964875604614,1.1100985131478551
2,83A,1,1016,random forest,31.13794452080852,18.545713691444533
0,17A,2,7112,lin_reg,38.09026912724344,28.537593537872723
1,17A,2,7112,decision Tree,7.033742901076053,1.802254286882446
2,17A,2,7112,random forest,21.894256885671357,13.594481971721418
0,40B,1,15,lin_reg,47.40232863949315,36.00336318575812
1,40B,1,15,decision Tree,0.0,0.0
2,40B,1,15,random forest,27.139407642883977,16.78588612670409
0,67,1,2213,lin_reg,45.608024948971504,32.41948683608388
1,67,1,2213,decision Tree,8.42260552096921,2.2232312266242595
2,67,1,2213,random forest,26.165012795612572,15.141114482031739
0,13,2,92,lin_reg,32.26160409306587,26.603352814553908
1,13,2,92,decision Tree,8.129694899995721,2.435962641745425
2,13,2,92,random forest,19.836993943875704,13.104355669624832
0,27A,2,666,lin_reg,16.929003659160077,12.542030159217004
1,27A,2,666,decision Tree,4.394396410707303,1.4531814083482113
2,27A,2,666,random forest,10.0587270283937,6.502304619508377
0,27,2,669,lin_reg,42.587249100254816,28.42245806815598
1,27,2,669,decision Tree,6.491772559673024,1.7702688020563804
2,27,2,669,random forest,20.75091867860192,12.172484084592957
0,38,2,77,lin_reg,25.95528069037496,19.253584458288184
1,38,2,77,decision Tree,9.267549414602342,3.7130466934818442
2,38,2,77,random forest,15.714102753413197,9.767798859726607
0,54A,2,2404,lin_reg,23.957322893660812,16.222699500029307
1,54A,2,2404,decision Tree,1.2733114488469197,0.2028977310799347
2,54A,2,2404,random forest,14.342833940037305,7.9455578301986085
0,17,2,1090,lin_reg,40.987916352081,32.21049073173191
1,17,2,1090,decision Tree,10.456290070488535,2.888206097179776
2,17,2,1090,random forest,24.3279933461264,15.816218726184294
0,25A,1,2215,lin_reg,19.713186337617365,13.73674454255549
1,25A,1,2215,decision Tree,5.320249652999163,1.9512729222310918
2,25A,1,2215,random forest,12.085834394507229,6.9364558174529165
0,15D,1,1300,lin_reg,95.73428398369298,68.8369343434442
1,15D,1,1300,decision Tree,0.0,0.0
2,15D,1,1300,random forest,56.099167334212595,32.50382513661202
0,43,1,4849,lin_reg,13.379424097097163,9.050488458354973
1,43,1,4849,decision Tree,3.848353074551203,1.2766368076105845
2,43,1,4849,random forest,8.09754284882269,4.822287112200309
0,220,1,4788,lin_reg,45.13686341505351,31.87233151924922
1,220,1,4788,decision Tree,0.5793315113128233,0.0625
2,220,1,4788,random forest,24.632206638878944,13.924153960996792
0,79A,2,1358,lin_reg,76.69753392384726,48.319210548029574
1,79A,2,1358,decision Tree,7.927458489215333,1.6422483531680372
2,79A,2,1358,random forest,39.32449154162031,22.440039919091753
0,45A,2,4201,lin_reg,40.55553283464924,25.70382361320975
1,45A,2,4201,decision Tree,4.6155206409126714,0.937436419789361
2,45A,2,4201,random forest,26.064243705487225,12.400650052184828
0,17,2,2072,lin_reg,36.194787472502306,16.54834734412063
1,17,2,2072,decision Tree,0.5068721478320684,0.04688843046243769
2,17,2,2072,random forest,19.460835247859787,7.99728873907042
0,120,1,795,lin_reg,32.554236796308096,16.328330923881452
1,120,1,795,decision Tree,9.05929897871484,3.8382636761356705
2,120,1,795,random forest,20.750513316553263,8.968590334627546
0,120,2,4936,lin_reg,19.95452368789951,13.237759976042804
1,120,2,4936,decision Tree,4.988703976490937,1.663971311575292
2,120,2,4936,random forest,12.262390159435498,7.077040214789571
0,83,2,1540,lin_reg,23.13419994230685,12.887448806995952
1,83,2,1540,decision Tree,4.021860835022884,1.262706073850903
2,83,2,1540,random forest,12.094117781525313,6.650526523711505
0,51X,2,2138,lin_reg,15.10285894645461,12.7341592931847
1,51X,2,2138,decision Tree,0.0,0.0
2,51X,2,2138,random forest,7.252657418913936,4.828460038986355
0,40B,1,1508,lin_reg,21.055676480681125,15.577573181483467
1,40B,1,1508,decision Tree,0.7658268513040438,0.06612484737484738
2,40B,1,1508,random forest,12.449219646249713,7.227777777777778
0,15,1,1082,lin_reg,35.53702423118607,27.485331285522456
1,15,1,1082,decision Tree,13.685914497699006,5.738090607138835
2,15,1,1082,random forest,22.390451116625915,14.897344004047817
0,83,2,1352,lin_reg,48.20759556646896,33.2219583252046
1,83,2,1352,decision Tree,13.120853925158377,4.738982172117722
2,83,2,1352,random forest,27.24017349106045,16.81047945481532
0,45A,2,3343,lin_reg,13.723702519554191,10.65823608475321
1,45A,2,3343,decision Tree,1.5394006932993383,0.2611260984900128
2,45A,2,3343,random forest,7.933932768904414,5.050426289439604
0,27A,2,1796,lin_reg,15.745176280150575,11.72186579994905
1,27A,2,1796,decision Tree,4.346908900128953,1.524831038658321
2,27A,2,1796,random forest,9.239159487465365,5.951964064827236
0,76A,1,2200,lin_reg,25.481078982835527,19.161135144195594
1,76A,1,2200,decision Tree,0.0,0.0
2,76A,1,2200,random forest,13.884086471311576,8.589285714285714
0,38A,1,274,lin_reg,104.13419871939597,79.37962421188973
1,38A,1,274,decision Tree,13.780905609345721,2.9662634821739764
2,38A,1,274,random forest,63.29085218979192,41.08023697354454
0,29A,1,727,lin_reg,20.503236245105185,14.032836392526763
1,29A,1,727,decision Tree,2.5527810368463832,0.5432986079134757
2,29A,1,727,random forest,11.88597969193348,6.758541580646552
0,42D,1,92,lin_reg,137.16116128797478,99.16604736788
1,42D,1,92,decision Tree,0.0,0.0
2,42D,1,92,random forest,73.05157649416492,39.840909090909086
0,7D,2,2024,lin_reg,14.352483651176705,11.250930492102201
1,7D,2,2024,decision Tree,0.0,0.0
2,7D,2,2024,random forest,8.521849187837514,5.324074074074074
0,17,1,2082,lin_reg,38.58759640787746,23.280124851695426
1,17,1,2082,decision Tree,2.298931135730174,0.40184897493933713
2,17,1,2082,random forest,17.967847515205495,8.964958788614503
0,31B,2,565,lin_reg,10.663256438532576,8.548081609025301
1,31B,2,565,decision Tree,0.0,0.0
2,31B,2,565,random forest,5.76753636688569,3.6549295774647885
0,39,1,1878,lin_reg,16.585190730613967,12.948468692325932
