,Route,Direction,Stop,Max,Min
0,68A,1,1373,463.0,-134.0
0,77A,1,7459,2365.0,-2431.0
0,39,1,1647,680.0,-101.0
0,41,1,7348,1022.0,-836.0
0,220,2,4362,445.0,-34.0
0,47,2,387,327.0,-34.0
0,32,2,607,108.0,-63.0
0,33B,1,3723,525.0,-119.0
0,49,2,4757,512.0,-31.0
0,39A,1,786,2048.0,-658.0
0,120,1,825,506.0,-39.0
0,79,2,6070,451.0,-104.0
0,83A,2,2495,623.0,-220.0
0,67X,2,2239,211.0,-232.0
0,14C,2,1037,112.0,-18.0
0,75,2,1319,339.0,-202.0
0,46A,2,798,555.0,-67.0
0,84X,1,7362,346.0,-69.0
0,77A,1,4927,132.0,-31.0
0,79A,2,2697,942.0,-87.0
0,33X,2,3835,97.0,-15.0
0,65,2,4055,373.0,-39.0
0,25D,1,7588,1035.0,-28.0
0,75,2,2846,324.0,-650.0
0,13,2,7191,176.0,-36.0
0,7B,2,3247,196.0,-31.0
0,67,2,3373,998.0,-181.0
0,39,2,1904,529.0,-110.0
0,59,2,5105,599.0,-533.0
0,51D,2,4665,221.0,-23.0
0,53,1,515,528.0,-132.0
0,42,1,521,1297.0,-137.0
0,16D,1,1642,147.0,-9.0
0,1,1,2804,1269.0,-101.0
0,31B,1,688,214.0,-23.0
0,40D,2,4725,2006.0,-224.0
0,51D,1,1966,685.0,-28.0
0,31D,2,589,40.0,-92.0
0,14,1,301,1852.0,-828.0
0,102,1,941,126.0,-40.0
0,59,1,3094,607.0,-22.0
0,63,1,7651,135.0,-451.0
0,79,2,1476,763.0,-136.0
0,15B,2,3001,967.0,-113.0
0,33E,1,3768,10.0,-10.0
0,39,2,4489,197.0,-26.0
0,15B,1,1018,912.0,-127.0
0,65,2,4528,163.0,-81.0
0,70D,2,3338,75.0,-21.0
0,40D,1,836,875.0,-135.0
0,77X,2,2569,37.0,-16.0
0,25B,1,1445,2060.0,-84.0
0,76A,2,2686,260.0,-25.0
0,17A,2,7334,415.0,-44.0
0,49,2,1155,505.0,-87.0
0,29A,1,4384,408.0,-219.0
0,1,1,214,446.0,-261.0
0,33X,1,3789,50.0,-48.0
0,49,2,1161,185.0,-93.0
0,41C,1,4918,361.0,-530.0
0,41X,1,3708,106.0,-41.0
0,130,1,519,547.0,-159.0
0,67X,1,7088,121.0,-95.0
0,27A,2,644,109.0,-73.0
0,45A,1,3215,130.0,-285.0
0,33B,1,3721,249.0,-83.0
0,16,1,1302,304.0,-665.0
0,41B,2,1638,171.0,-94.0
0,15A,2,7558,2150.0,-42.0
0,41D,1,3672,-139.0,-146.0
0,18,1,2495,324.0,-53.0
0,32X,2,5081,57.0,-36.0
0,33,2,231,328.0,-103.0
0,56A,2,2187,220.0,-58.0
0,44,1,2832,208.0,-31.0
0,26,1,2198,249.0,-52.0
0,4,2,472,211.0,-109.0
0,39A,2,1850,357.0,-1017.0
0,65,2,1353,401.0,-83.0
0,31A,1,522,1071.0,-60.0
0,151,2,6243,546.0,-60.0
0,15D,1,5130,100.0,-60.0
0,70D,1,38,107.0,-48.0
0,120,1,400,658.0,-75.0
0,65,2,1169,233.0,-150.0
0,53,2,7601,2990.0,-168.0
0,7D,2,3203,48.0,-46.0
0,25B,1,7392,1793.0,-499.0
0,39,2,1893,1958.0,-440.0
0,7A,2,3225,751.0,-46.0
0,32,1,496,727.0,-195.0
0,83A,1,187,765.0,-712.0
0,84A,2,3159,89.0,-47.0
0,9,1,6228,381.0,-136.0
0,130,2,618,913.0,-57.0
0,76A,1,2675,265.0,-54.0
0,42,2,3573,821.0,-93.0
0,45A,2,3239,170.0,-334.0
0,145,1,4636,1298.0,-484.0
0,7,1,3204,2263.0,-227.0
0,25B,2,406,1431.0,-713.0
0,145,1,757,344.0,-84.0
0,7B,1,3243,258.0,-33.0
0,56A,2,4434,256.0,-89.0
0,33A,1,3784,330.0,-50.0
0,25B,1,4599,536.0,-48.0
0,32X,2,4387,290.0,-18.0
0,38D,2,753,100.0,-22.0
0,67,2,3919,593.0,-48.0
0,116,2,909,236.0,-89.0
0,220,1,1601,131.0,-25.0
0,16D,1,1639,182.0,-156.0
0,161,1,2867,518.0,-53.0
0,16D,1,2970,105.0,0.0
0,13,2,2150,347.0,-327.0
0,84,1,3118,396.0,-77.0
0,84A,1,5046,556.0,-98.0
0,33B,2,7170,454.0,-130.0
0,44,1,3467,221.0,-147.0
0,84,2,4271,98.0,-31.0
0,130,1,7591,3513.0,-794.0
0,38A,1,274,937.0,-279.0
0,14C,2,1166,142.0,-18.0
0,184,1,4655,1629.0,-42.0
0,11,1,3016,306.0,-71.0
0,13,1,2166,918.0,-421.0
0,31D,2,237,714.0,-205.0
0,27,1,664,558.0,-690.0
0,39X,2,4323,885.0,-108.0
0,65,2,7259,99.0,-60.0
0,27B,2,1177,110.0,20.0
0,9,2,4890,315.0,-259.0
